INFO:root:{'WORK_PATH': './work/cnn_silhouette', 'CUDA_VISIBLE_DEVICES': '0,1', 'dataset': 'CASIA-B', 'model': {'model_cfg': {'hidden_dim': 128, 'out_channels': 128}, 'lr': 0.0001, 'margin': 0.2, 'frame_num': 30, 'frame_num_min': 15, 'num_workers': 24, 'restore_iter': 0, 'hard_or_full_trip': 'full', 'batch_size': (8, 16), 'milestones': [100000], 'total_iter': 120000, 'model_name': 'gaitpart_casia-b'}, 'data': {'data_type': 'silhouettes', 'CASIA-B': {'resolution': '64', 'pid_num': 73, 'pid_shuffle': False, 'data_path': ['/home/pengyunjie/data/casia-b/silhouettes64/']}, 'OUMVLP': {'resolution': '64', 'pid_num': 5153, 'pid_shuffle': False, 'data_path': ['/data_1/pengyunjie/dataset/ou-mvlp/silhouettes/']}}}
INFO:root:Initialzing...
INFO:root:Initializing data source...
INFO:root:dataset:CASIA-B, data_type:silhouettes, data_path:['/home/pengyunjie/data/casia-b/silhouettes64/'], cache:False
INFO:root:pid_train:['001', '002', '003', '004', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '025', '026', '027', '028', '029', '030', '031', '032', '033', '034', '035', '036', '037', '038', '039', '040', '041', '042', '043', '044', '045', '046', '047', '048', '049', '050', '051', '052', '053', '054', '055', '056', '057', '058', '059', '060', '061', '062', '063', '064', '065', '066', '067', '068', '069', '070', '071', '072', '073', '074']
pid_test:['075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '093', '094', '095', '096', '097', '098', '099', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124']
INFO:root:len(pid_train):73, len(pid_test):50
INFO:root:Data initialization complete.
INFO:root:Initializing model...
INFO:root:Model initialization complete.
INFO:root:Training START
INFO:root:iter 100:, hard_loss_metric=0.43270165, full_loss_metric=0.19404501, full_loss_num=192607.40625000, mean_dist=0.19152619, lr=0.000100, hard or full='full'
INFO:root:iter 200:, hard_loss_metric=0.53530097, full_loss_metric=0.19194740, full_loss_num=142846.39062500, mean_dist=0.38307655, lr=0.000100, hard or full='full'
INFO:root:iter 300:, hard_loss_metric=0.55238336, full_loss_metric=0.19252428, full_loss_num=122704.06250000, mean_dist=0.48301286, lr=0.000100, hard or full='full'
INFO:root:iter 400:, hard_loss_metric=0.56078947, full_loss_metric=0.19207463, full_loss_num=110696.64062500, mean_dist=0.56104672, lr=0.000100, hard or full='full'
INFO:root:iter 500:, hard_loss_metric=0.57064420, full_loss_metric=0.19345310, full_loss_num=100677.71093750, mean_dist=0.61939263, lr=0.000100, hard or full='full'
INFO:root:iter 600:, hard_loss_metric=0.57199568, full_loss_metric=0.19279106, full_loss_num=95065.35156250, mean_dist=0.66332608, lr=0.000100, hard or full='full'
INFO:root:iter 700:, hard_loss_metric=0.57550049, full_loss_metric=0.19307379, full_loss_num=88100.89062500, mean_dist=0.71704340, lr=0.000100, hard or full='full'
INFO:root:iter 800:, hard_loss_metric=0.58080572, full_loss_metric=0.19325918, full_loss_num=84008.53125000, mean_dist=0.75685090, lr=0.000100, hard or full='full'
INFO:root:iter 900:, hard_loss_metric=0.58293414, full_loss_metric=0.19313526, full_loss_num=79699.72656250, mean_dist=0.79434359, lr=0.000100, hard or full='full'
INFO:root:iter 1000:, hard_loss_metric=0.58670890, full_loss_metric=0.19412960, full_loss_num=74820.44531250, mean_dist=0.83875656, lr=0.000100, hard or full='full'
INFO:root:iter 1100:, hard_loss_metric=0.58887404, full_loss_metric=0.19420794, full_loss_num=74616.46875000, mean_dist=0.84807336, lr=0.000100, hard or full='full'
INFO:root:iter 1200:, hard_loss_metric=0.58651650, full_loss_metric=0.19335409, full_loss_num=68763.07812500, mean_dist=0.89834291, lr=0.000100, hard or full='full'
INFO:root:iter 1300:, hard_loss_metric=0.59281480, full_loss_metric=0.19519249, full_loss_num=67629.47656250, mean_dist=0.91605264, lr=0.000100, hard or full='full'
INFO:root:iter 1400:, hard_loss_metric=0.59034705, full_loss_metric=0.19469909, full_loss_num=65286.44921875, mean_dist=0.94600648, lr=0.000100, hard or full='full'
INFO:root:iter 1500:, hard_loss_metric=0.58331972, full_loss_metric=0.19370419, full_loss_num=61039.14843750, mean_dist=0.97522545, lr=0.000100, hard or full='full'
INFO:root:iter 1600:, hard_loss_metric=0.58711237, full_loss_metric=0.19484347, full_loss_num=60943.00390625, mean_dist=0.99061471, lr=0.000100, hard or full='full'
INFO:root:iter 1700:, hard_loss_metric=0.58174974, full_loss_metric=0.19394624, full_loss_num=57284.76562500, mean_dist=1.03088152, lr=0.000100, hard or full='full'
INFO:root:iter 1800:, hard_loss_metric=0.58626920, full_loss_metric=0.19581749, full_loss_num=55715.05859375, mean_dist=1.04977322, lr=0.000100, hard or full='full'
INFO:root:iter 1900:, hard_loss_metric=0.58736557, full_loss_metric=0.19644806, full_loss_num=54532.21484375, mean_dist=1.06868875, lr=0.000100, hard or full='full'
INFO:root:iter 2000:, hard_loss_metric=0.58634031, full_loss_metric=0.19477558, full_loss_num=54302.10937500, mean_dist=1.07602406, lr=0.000100, hard or full='full'
INFO:root:iter 2100:, hard_loss_metric=0.58567703, full_loss_metric=0.19521603, full_loss_num=51972.80078125, mean_dist=1.10183561, lr=0.000100, hard or full='full'
INFO:root:iter 2200:, hard_loss_metric=0.58362639, full_loss_metric=0.19507648, full_loss_num=51565.26953125, mean_dist=1.11342895, lr=0.000100, hard or full='full'
INFO:root:iter 2300:, hard_loss_metric=0.58356112, full_loss_metric=0.19558023, full_loss_num=51336.10937500, mean_dist=1.12225080, lr=0.000100, hard or full='full'
INFO:root:iter 2400:, hard_loss_metric=0.58206987, full_loss_metric=0.19551134, full_loss_num=50399.29687500, mean_dist=1.14133382, lr=0.000100, hard or full='full'
INFO:root:iter 2500:, hard_loss_metric=0.58191788, full_loss_metric=0.19547299, full_loss_num=49329.03515625, mean_dist=1.15803301, lr=0.000100, hard or full='full'
INFO:root:iter 2600:, hard_loss_metric=0.58240747, full_loss_metric=0.19594070, full_loss_num=48065.55468750, mean_dist=1.18147790, lr=0.000100, hard or full='full'
INFO:root:iter 2700:, hard_loss_metric=0.58688956, full_loss_metric=0.19575794, full_loss_num=49950.64062500, mean_dist=1.16375375, lr=0.000100, hard or full='full'
INFO:root:iter 2800:, hard_loss_metric=0.58769101, full_loss_metric=0.19671330, full_loss_num=47039.23828125, mean_dist=1.20086706, lr=0.000100, hard or full='full'
INFO:root:iter 2900:, hard_loss_metric=0.58092517, full_loss_metric=0.19527073, full_loss_num=44889.07812500, mean_dist=1.22169399, lr=0.000100, hard or full='full'
INFO:root:iter 3000:, hard_loss_metric=0.57542491, full_loss_metric=0.19533435, full_loss_num=44262.69140625, mean_dist=1.24154150, lr=0.000100, hard or full='full'
INFO:root:iter 3100:, hard_loss_metric=0.57723975, full_loss_metric=0.19666705, full_loss_num=42708.93359375, mean_dist=1.27096677, lr=0.000100, hard or full='full'
INFO:root:iter 3200:, hard_loss_metric=0.57707888, full_loss_metric=0.19568552, full_loss_num=43110.69531250, mean_dist=1.26648128, lr=0.000100, hard or full='full'
INFO:root:iter 3300:, hard_loss_metric=0.58294958, full_loss_metric=0.19712733, full_loss_num=42993.07031250, mean_dist=1.27991068, lr=0.000100, hard or full='full'
INFO:root:iter 3400:, hard_loss_metric=0.57723033, full_loss_metric=0.19683217, full_loss_num=41421.83593750, mean_dist=1.29487073, lr=0.000100, hard or full='full'
INFO:root:iter 3500:, hard_loss_metric=0.57802373, full_loss_metric=0.19603495, full_loss_num=42053.66015625, mean_dist=1.29129338, lr=0.000100, hard or full='full'
INFO:root:iter 3600:, hard_loss_metric=0.57435596, full_loss_metric=0.19718707, full_loss_num=42324.55859375, mean_dist=1.31343830, lr=0.000100, hard or full='full'
INFO:root:iter 3700:, hard_loss_metric=0.57814330, full_loss_metric=0.19764552, full_loss_num=39753.42187500, mean_dist=1.32756138, lr=0.000100, hard or full='full'
INFO:root:iter 3800:, hard_loss_metric=0.57030529, full_loss_metric=0.19642366, full_loss_num=39416.63281250, mean_dist=1.33424819, lr=0.000100, hard or full='full'
INFO:root:iter 3900:, hard_loss_metric=0.56878680, full_loss_metric=0.19660747, full_loss_num=38082.60546875, mean_dist=1.36167872, lr=0.000100, hard or full='full'
INFO:root:iter 4000:, hard_loss_metric=0.57442659, full_loss_metric=0.19739987, full_loss_num=38157.89453125, mean_dist=1.37303984, lr=0.000100, hard or full='full'
INFO:root:iter 4100:, hard_loss_metric=0.56896347, full_loss_metric=0.19677953, full_loss_num=37677.15625000, mean_dist=1.38375187, lr=0.000100, hard or full='full'
